12, 12, 4, 1, 13, 14, 16, 23
23, 6, 23, 20, 1, 1, 11, 5
18, 19, 22, 5, 4, 4, 16, 23
12, 6, 21, 0, 7, 13, 18, 2
15, 23, 6, 16, 15, 17, 8, 11
7, 9, 19, 0, 1, 15, 17, 11
12, 1, 17, 21, 14, 16, 16, 20
3, 17, 7, 0, 23, 14, 12, 11
7, 6, 9, 15, 0, 2, 9, 16
0, 18, 23, 9, 5, 16, 0, 22
0, 17, 11, 20, 22, 1, 12, 15
16, 11, 22, 19, 11, 16, 14, 22
14, 15, 10, 16, 20, 14, 6, 19
13, 17, 11, 7, 16, 16, 1, 22
17, 5, 6, 2, 22, 18, 19, 0
13, 11, 1, 8, 4, 9, 20, 18
1, 17, 21, 16, 11, 12, 21, 15
7, 5, 6, 23, 4, 3, 4, 4
13, 14, 5, 8, 4, 3, 3, 9
19, 7, 21, 8, 0, 11, 16, 23
22, 13, 5, 12, 14, 22, 10, 10
11, 17, 5, 11, 13, 3, 14, 20
16, 4, 21, 17, 20, 10, 17, 19
23, 15, 11, 17, 1, 18, 5, 11
